NAME	Neuron	Endothelial	Astrocyte	Microglia	Oligodendrocyte
D19Ertd737e	1	1	1	1	41.3188094828096
D3Bwg0562e	266.838879199168	1	1	1	1
D430041D05Rik	106.238903946055	1	1	1	1
D630045J12Rik	153.552967518984	1	1	1	180.499395302022
D930014E17Rik	1	57.6631266233306	1	1	1
D930016D06Rik	33.24481020747	1	100.662871510436	1	1
Daam2	1	1	413.478668739855	1	64.0959424910215
Dab2	1	179.50742104167	1	1	1
Dap	1	61.8612571988918	1	1	1
Dapp1	1	1	1	251.893206187242	1
Dbc1	323.168806295704	1	1	1	234.581409236826
Dbndd2	59.8095415491027	1	118.075595167033	1	1591.92343912567
Dbpht2	386.972979318255	1	1	1	943.285983731343
Dbx2	1	1	193.75623913681	1	1
Dcaf7	99.5472404180511	1	1	1	1
Dcdc2a	1	191.211485028036	1	1	1
Dclk1	637.561657428157	1	3203.8345290405	1	169.999757156435
Dclre1b	1	1	1	1	55.3503369009615
Dcn	1	1704.44654614096	1	1	1
Dcun1d4	89.4286247813872	1	1	1	1
Ddb2	1	1	48.6860958187881	1	1
Ddhd1	1	1	335.411120467072	1	1
Ddit4l	1	61.2132319481815	134.310842839269	1	1
Ddr1	1	1	1	1	66.4622273458784
Ddrgk1	44.371324790198	1	1	1	110.885564223894
Ddx26b	29.7455189002498	1	1	232.868401151111	1
Ddx58	1	161.853674698646	1	1	1
Decr1	1	1	100.361225965084	1	1
Def8	34.0083160182375	1	1	1	96.5161182165029
Degs2	1	533.944842836108	1	1	1
Dennd1a	1	1	90.2236221060688	1	1
Dennd1c	1	1	1	79.1895241955911	1
Dennd2a	1	1	1	1	68.5516207809221
Dennd3	1	94.6018242473096	1	1	1
Dennd4c	1	1	52.5245615052613	1	1
Dgat1	1	1	56.5689326438598	1	1
Dgkb	95.4406420858502	65.0251103827948	319.530103386465	1	1
Dgkd	49.0601011205729	1	1	186.389879108471	1
Dgkg	128.526628685689	1	1	1	1
Dhrs3	1	291.514927389499	1170.97384917421	1115.24811966346	1
Dhx32	1	1	85.9491808969087	1	1
Dhx40	1	146.668936693245	1	1	61.2628588096529
Dimt1	71.059477227375	1	1	1	1
Dio2	1	1	1123.5877663223	1	1
Dip2a	1	1	1	1	35.9479855418688
Dip2c	80.0597304574844	1	1	1	1
Dis3l2	31.9363993743609	1	1	1	93.970934751536
Disp2	223.730892129148	1	1	1	1
Dixdc1	50.7338765965853	1	1	1	142.432089249859
Dkk3	195.799753487094	1	219.350306241832	1	1
Dlc1	21.0657730074922	248.24478603339	1	1	1
Dlg2	122.10366549029	1	1	1	1
Dlgap2	73.2485315349151	1	1	1	1
Dlx6as1	159.483780824832	1	1	1	1
Dmxl1	62.1682054560682	134.570475677977	1	1	1
Dmxl2	168.050752836458	1	1	1	1
Dnajb2	20.3140699837927	1	1	1	87.6620892586831
Dnajc11	63.0891334299724	1	1	1	103.626375643817
Dnajc13	31.9208930687055	1	1	344.213498637173	1
Dnajc27	70.2864926380182	1	1	1	1
Dnajc6	179.232132443513	1	1	1	1
Dnase2a	1	1	1	263.071560400737	1
Dnm1	89.1736759853002	1	1	1	1
Dnm2	1	1	1	1	49.7511783105547
Dnm3os	1	1	1	1	101.653369263269
Dock10	1	1	1	261.660431521212	217.663297548703
Dock11	1	1	1	427.398416693802	1
Dock2	1	1	1	186.964115807143	1
Dock5	1	1	1	1	85.2195437439947
Dock6	1	73.051900567983	1	1	1
Dock8	1	1	1	47.7549877274477	1
Dok5	95.615238410696	1	1	1	1
Dolpp1	1	1	73.2615808329031	1	1
Dpcd	80.7342018761122	1	1	1	1
Dpp10	199.46057989375	1	1	1	1
Dpp6	128.197557558398	1	1	1	225.009817676006
Dpy19l1	91.6716122365265	1	1	80.0476124082853	279.940254368927
Dpy19l3	1	1	49.023844057067	1	1
Dscam	44.4143971205742	1	1	1	135.729600273609
Dse	1	1	1	81.1589336128436	1
Dtna	101.272672794825	1	574.596937170822	1	31.2781280143257
Dusp14	181.257142500192	1	1	1	1
Dusp26	45.6497015685459	1	1	1	160.48992991006
Dync1i1	361.725383802035	1	1	1	1
Dync2h1	76.7251253913548	1	1	1	1
Dzip1l	1	1	52.0919664054641	1	1
Dzip3	71.208272323645	1	1	1	1
E130114P18Rik	1	1	117.65591183365	1	1
E130304F04Rik	1	1	190.912705449315	1	1
E130309F12Rik	50.907713597894	1	1	1	185.048975639891
E230029C05Rik	1	1	1	63.7365683186844	1
Ebag9	30.7796847353154	139.637419772805	1	1	1
Ebi3	1	1	1	100.03012721407	1
Echdc2	1	1	51.0395532523969	1	1
Eci1	1	1	40.5932556073139	1	1
Ecm1	1	140.219841838388	1	1	1
Ecm2	1	93.7582904170952	1	1	1
Ecscr	1	149.086283721119	1	558.97732228988	1
