NAME	Neuron	Oligodendrocyte	Microglia	Endothelial	Astrocyte
Efnb3	100.292157056046	498.959764989171	1	1	1
Egfl7	41.3990263080112	1	137.149607089392	605.697893139638	1
Egr2	1	1	119.93647854263	1	1
Ehd4	1	1	401.216256182782	1	1
Elk3	1	1	84.794514859868	161.79771043534	1
Elmod2	1	41.7180858268505	1	1	1
Elmsan1	1	1	55.669587403869	1	1
Elovl2	1	1	1	1	128.669027306622
Elovl7	1	557.919180500402	1	94.3643787510578	1
Eltd1	1	1	1	421.405677748393	1
Emcn	1	1	1	244.370380606634	1
Eml1	46.3330567800226	391.066000073575	1	66.5295824068785	1
Eml2	44.1881955568407	80.0265042081816	1	1	1
Emp2	1	1	1	189.304226812114	253.816897747787
Emp3	1	1	119.667613703351	102.065739708686	1
Emr1	1	1	451.594500207601	1	1
Enah	33.1517153234656	1	1	1	93.5973834297974
Eng	1	1	1	163.532864001359	1
Enho	37.074093552901	1	1	1	289.816552547248
Enoph1	65.2645124802919	219.957365938715	1	1	42.9193349513025
Enpp4	1	204.744835747689	1	70.6610122270023	1
Enpp6	1	193.143517622149	1	1	1
Entpd1	1	1	144.661839027846	66.0558127348198	1
Entpd2	1	1	1	1	106.141179161905
Entpd5	1	112.794818372475	1	1	63.9950727600967
Eogt	1	1	1	137.50680773734	1
Epb4.1l3	117.042247558986	556.646871042099	53.6962825261684	1	1
Epdr1	91.6496702006953	1	1	1	153.534543287296
Epha5	220.133960606946	1	1	1	61.3354722771266
Epha7	192.49093270752	1	1	1	1
Ephb1	1	261.540697834392	1	1	84.0298961131338
Ephx1	1	1	1	93.5470976799799	107.976934998281
Ephx2	1	1	1	1	177.143190618506
Ephx4	69.3131412379362	1	1	1	1
Eps8	1	1	98.21653367929	1	141.181604556979
Ermn	1	2709.26773918757	98.2634950300686	1	136.279553146631
Esam	1	1	120.24128204034	688.92123905529	1
Esyt1	1	1	1	87.938863734568	1
Etl4	68.1595771283796	1	1	1	1
Ets1	1	1	53.5935818470052	229.668890999927	1
Ets2	26.8053793273201	1	1	66.8866714750922	1
Etv3	1	1	47.199803799624	1	1
Eva1a	1	1	1	1	118.643371652456
Evi2a	1	146.76386773415	142.253136108083	1	1
Evi2a.evi2b	1	527.475025231691	236.632320356797	1	1
Exoc6b	62.0905997203782	116.830055124911	1	1	1
Eya2	1	36.9625741825363	1	1	1
Ezr	1	1	1	88.7559213255544	417.222058659094
F11r	1	1	1	63.6047166335484	1
F13a1	1	1	1787.58109294026	1	1
F3	1	1	82.7356350644369	1	381.39506220601
Fa2h	1	344.136412155182	124.350877425603	1	1
Fabp3	284.718960701846	1	1	1	1
Fabp7	1	1	1	1	1569.99336717716
